Date,Active Nodes
2022-05-22T22:30:00.080149Z,4278
2022-05-23T22:30:00.276276Z,4357
2022-05-24T22:30:00.09935Z,4356
2022-05-27T22:30:00.105142Z,5604
2022-05-28T22:30:00.094196Z,3538
2022-05-29T22:30:00.093319Z,3604
2022-05-30T22:30:00.247337Z,3699
2022-05-31T22:30:00.217351Z,4352
2022-06-01T22:30:00.092905Z,3809
2022-06-02T22:30:00.150361Z,4314
2022-06-03T22:30:00.095205Z,3864
2022-06-04T22:30:00.204673Z,3866
2022-06-05T22:30:00.25168Z,3979
2022-06-06T22:30:00.093897Z,3940
2022-06-07T22:30:00.268922Z,3945
2022-06-08T22:30:00.257441Z,4015
2022-06-09T22:30:00.256771Z,4112
2022-06-10T22:30:00.224552Z,4123
2022-06-11T22:30:00.097133Z,4219
2022-06-12T22:30:00.092744Z,4218
2022-06-13T22:30:00.224003Z,4202
2022-06-14T22:30:00.098141Z,4336
2022-06-15T22:30:00.105137Z,4288
2022-06-16T22:30:00.079869Z,4306
2022-06-17T22:30:00.097851Z,4403
2022-06-18T22:30:00.138456Z,4397
2022-06-19T22:30:00.096078Z,4445
2022-06-20T22:30:00.09653Z,4446
2022-06-21T22:30:00.096611Z,4448
2022-06-22T22:30:00.096257Z,4484
2022-06-23T22:30:00.252805Z,4434
2022-06-24T22:30:00.165394Z,4399
2022-06-25T22:30:00.142413Z,4416
2022-06-26T22:30:00.21686Z,4415
2022-06-27T22:30:00.229621Z,4535
2022-06-28T22:30:00.248221Z,4521
2022-06-29T22:30:00.096214Z,4578
2022-06-30T22:30:00.285159Z,4556
2022-07-01T22:30:00.095863Z,4479
2022-07-02T22:30:00.238495Z,4479
2022-07-03T22:30:00.239172Z,4482
2022-07-04T22:30:00.096512Z,4486
2022-07-05T22:30:00.26291Z,4568
2022-07-06T22:30:00.138436Z,4542
2022-07-07T22:30:00.094822Z,4511
2022-07-08T22:30:00.13871Z,4460
2022-07-09T22:30:00.100573Z,4577
2022-07-10T22:30:00.209976Z,4555
2022-07-11T22:30:00.144062Z,4484
2022-07-12T22:30:00.096138Z,4485
2022-07-13T22:30:00.118733Z,4540
2022-07-14T22:30:00.274882Z,4483
2022-07-15T22:30:00.144982Z,4525
2022-07-16T22:30:00.09282Z,4143
2022-07-17T22:30:00.23973Z,4073
2022-07-18T22:30:00.252491Z,4106
2022-07-19T22:30:00.095586Z,4102
2022-07-20T22:30:00.277531Z,4058
2022-07-21T22:30:00.213058Z,4058
